name,link,date_of_birth,age,height,weight,spike,block
Yeon Koung Kim,/en/group2/competition/teams/kor-korea/players/yeon-koung-kim?id=58721,26/02/1988,32,192,73,330,320
Su Ji Kim,/en/group2/competition/teams/kor-korea/players/su-ji-kim?id=58731,11/07/1987,33,187,68,283,273
Jeongah Park,/en/group2/competition/teams/kor-korea/players/jeongah-park?id=58728,26/03/1993,27,187,75,300,290
Hyo Jin Yang,/en/group2/competition/teams/kor-korea/players/hyo-jin-yang?id=58729,14/12/1989,31,190,72,340,338
Miyoun Kim,/en/group2/competition/teams/kor-korea/players/miyoun-kim?id=58732,05/03/1993,27,178,62,290,280
Minkyoung Hwang,/en/group2/competition/teams/kor-korea/players/minkyoung-hwang?id=58716,02/06/1990,30,174,64,290,282
Mirtha Uribe,/en/group2/competition/teams/per-peru/players/mirtha-uribe?id=59474,12/03/1985,35,184,67,297,286
Shiamara Almeida,/en/group2/competition/teams/per-peru/players/shiamara-almeida?id=59477,19/02/1996,24,172,62,276,265
Alexandra Muñoz,/en/group2/competition/teams/per-peru/players/alexandra-mu%c3%b1oz?id=59466,16/08/1992,28,180,63,287,281
Andrea Urrutia,/en/group2/competition/teams/per-peru/players/andrea-urrutia?id=59475,31/05/1997,23,185,65,278,275
Maguilaura Frias,/en/group2/competition/teams/per-peru/players/maguilaura-frias?id=59463,28/05/1997,23,186,71,291,280
Janice Torres,/en/group2/competition/teams/per-peru/players/janice-torres?id=59471,08/11/1989,31,166,55,258,261
Mirian Patiño,/en/group2/competition/teams/per-peru/players/mirian-pati%c3%b1o?id=59467,28/03/1990,30,168,67,275,270
Clarivett Yllescas,/en/group2/competition/teams/per-peru/players/clarivett-yllescas?id=59476,11/08/1993,27,185,63,305,295
Angela Leyva,/en/group2/competition/teams/per-peru/players/angela-leyva?id=59464,22/11/1996,24,181,70,312,300
Katerinne Mabel Olemar,/en/group2/competition/teams/per-peru/players/katerinne-mabel-olemar?id=59479,10/05/1993,27,176,65,293,280
Alexandra Machado,/en/group2/competition/teams/per-peru/players/alexandra-machado?id=59465,28/02/1995,25,178,65,293,284
Jessenia Uceda,/en/group2/competition/teams/per-peru/players/jessenia-uceda?id=59472,14/08/1981,39,178,69,304,294
Coraima Gomez,/en/group2/competition/teams/per-peru/players/coraima-gomez?id=59478,09/08/1996,24,179,70,300,285
Carla Rueda Cotito,/en/group2/competition/teams/per-peru/players/carla-rueda-cotito?id=59468,19/04/1990,30,184,70,312,306
Klaudia Alagierska,/en/group2/competition/teams/pol-poland/players/klaudia-alagierska?id=59053,02/01/1996,24,190,76,297,290
Patrycja Polak,/en/group2/competition/teams/pol-poland/players/patrycja-polak?id=59062,23/02/1991,29,183,62,301,279
Agnieszka Kakolewska,/en/group2/competition/teams/pol-poland/players/agnieszka-kakolewska?id=59058,17/10/1994,26,197,75,309,295
Berenika Tomsia,/en/group2/competition/teams/pol-poland/players/berenika-tomsia?id=59064,18/03/1988,32,188,72,310,302
Aleksandra Krzos,/en/group2/competition/teams/pol-poland/players/aleksandra-krzos?id=59059,23/06/1989,31,181,71,275,260
Zuzanna Efimienko-Mlotkowska,/en/group2/competition/teams/pol-poland/players/zuzanna-efimienko-mlotkowska?id=59055,08/08/1989,31,197,72,318,303
Monika Bociek,/en/group2/competition/teams/pol-poland/players/monika-bociek?id=59054,06/04/1996,24,185,70,302,287
Agata Witkowska,/en/group2/competition/teams/pol-poland/players/agata-witkowska?id=59065,19/08/1989,31,170,63,280,275
Joanna Wolosz,/en/group2/competition/teams/pol-poland/players/joanna-wolosz?id=59066,07/04/1990,30,181,71,303,281
Martyna Grajber,/en/group2/competition/teams/pol-poland/players/martyna-grajber?id=59056,28/03/1995,25,180,67,293,276
Malwina Smarzek,/en/group2/competition/teams/pol-poland/players/malwina-smarzek?id=59063,03/06/1996,24,191,80,318,292
Marlena Kowalewska,/en/group2/competition/teams/pol-poland/players/marlena-kowalewska?id=59061,09/01/1992,28,176,61,295,281
Roksana Brzoska,/en/group2/competition/teams/pol-poland/players/roksana-brzoska?id=59308,02/09/1993,27,180,75,300,289
Malgorzata Jasek,/en/group2/competition/teams/pol-poland/players/malgorzata-jasek?id=59057,14/03/1995,25,191,78,300,240
Gergana Dimitrova,/en/group2/competition/teams/bul-bulgaria/players/gergana-dimitrova?id=58965,28/02/1996,24,184,71,305,288
Yuliya Stoyanova,/en/group2/competition/teams/bul-bulgaria/players/yuliya-stoyanova?id=58975,22/07/1985,35,185,64,305,298
Rusena Slancheva,/en/group2/competition/teams/bul-bulgaria/players/rusena-slancheva?id=58974,23/08/1986,34,184,62,295,287
Nasya Dimitrova,/en/group2/competition/teams/bul-bulgaria/players/nasya-dimitrova?id=58966,06/11/1992,28,190,70,305,290
Dobriana Rabadzhieva,/en/group2/competition/teams/bul-bulgaria/players/dobriana-rabadzhieva?id=58972,14/06/1991,29,194,72,305,285
Miroslava Paskova,/en/group2/competition/teams/bul-bulgaria/players/miroslava-paskova?id=58971,16/02/1996,24,180,67,299,280
Petya Barakova,/en/group2/competition/teams/bul-bulgaria/players/petya-barakova?id=58963,18/06/1994,26,180,76,283,271
Elitsa Barakova,/en/group2/competition/teams/bul-bulgaria/players/elitsa-barakova?id=59337,11/03/1997,23,184,60,290,280
Maria Dancheva,/en/group2/competition/teams/bul-bulgaria/players/maria-dancheva?id=58964,04/12/1995,25,195,73,314,302
Veselina Arshinkova,/en/group2/competition/teams/bul-bulgaria/players/veselina-arshinkova?id=58968,06/09/1995,25,194,80,303,292
Kristina Guncheva,/en/group2/competition/teams/bul-bulgaria/players/kristina-guncheva?id=58969,24/03/1994,26,178,61,282,271
Kyla Richey,/en/group2/competition/teams/can-canada/players/kyla-richey?id=59676,20/06/1989,31,188,83,309,292
Danielle Smith,/en/group2/competition/teams/can-canada/players/danielle-smith?id=59677,29/04/1990,30,178,68,291,277
Brianna Beamish,/en/group2/competition/teams/can-canada/players/brianna-beamish?id=59661,04/09/1993,27,179,71,300,286
Alicia Ogoms,/en/group2/competition/teams/can-canada/players/alicia-ogoms?id=59673,02/04/1994,26,194,82,315,305
Jennifer Cross,/en/group2/competition/teams/can-canada/players/jennifer-cross?id=59666,04/07/1992,28,195,81,315,296
Lucille Charuk,/en/group2/competition/teams/can-canada/players/lucille-charuk?id=59664,13/08/1989,31,188,88,315,296
Elizabeth Wendel,/en/group2/competition/teams/can-canada/players/elizabeth-wendel?id=59678,15/12/1993,27,185,81,310,300
Sarah Chase,/en/group2/competition/teams/can-canada/players/sarah-chase?id=59894,08/10/1997,23,180,70,302,276
Kristen Moncks,/en/group2/competition/teams/can-canada/players/kristen-moncks?id=59672,31/07/1992,28,173,66,290,274
Marie-Alex Bélanger,/en/group2/competition/teams/can-canada/players/marie-alex-b%c3%a9langer?id=59662,13/04/1993,27,186,75,315,295
Alicia Perrin,/en/group2/competition/teams/can-canada/players/alicia-perrin?id=59674,01/06/1992,28,188,84,305,286
Courtney Baker,/en/group2/competition/teams/can-canada/players/courtney-baker?id=59660,14/07/1997,23,180,68,309,290
Megan Cyr,/en/group2/competition/teams/can-canada/players/megan-cyr?id=59667,01/06/1990,30,182,75,297,282
Michaela Reesor,/en/group2/competition/teams/can-canada/players/michaela-reesor?id=59675,02/03/1993,27,180,66,302,279
Daly Santana,/en/group2/competition/teams/pur-puerto%20rico/players/daly-santana?id=59493,19/02/1995,25,182,72,272,267
Shara Venegas,/en/group2/competition/teams/pur-puerto%20rico/players/shara-venegas?id=59498,18/09/1992,28,173,68,280,272
Raymariely Santos,/en/group2/competition/teams/pur-puerto%20rico/players/raymariely-santos?id=59495,13/04/1992,28,183,72,290,288
Stephanie Enright,/en/group2/competition/teams/pur-puerto%20rico/players/stephanie-enright?id=59482,15/12/1990,30,179,56,300,292
Jennifer Nogueras,/en/group2/competition/teams/pur-puerto%20rico/players/jennifer-nogueras?id=59490,01/08/1991,29,185,88,299,292
Janeliss Torres,/en/group2/competition/teams/pur-puerto%20rico/players/janeliss-torres?id=59496,09/07/1991,29,166,62,305,296
Jennifer Quesada,/en/group2/competition/teams/pur-puerto%20rico/players/jennifer-quesada?id=59492,22/02/1992,28,188,71,299,295
Shirley Ferrer,/en/group2/competition/teams/pur-puerto%20rico/players/shirley-ferrer?id=59483,23/06/1991,29,180,63,290,293
Natalia Valentin,/en/group2/competition/teams/pur-puerto%20rico/players/natalia-valentin?id=59497,12/09/1989,31,170,61,244,240
Genesis Collazo,/en/group2/competition/teams/pur-puerto%20rico/players/genesis-collazo?id=59481,04/10/1992,28,185,74,301,296
Noami Santos,/en/group2/competition/teams/pur-puerto%20rico/players/noami-santos?id=59494,29/11/1993,27,192,63,309,300
Alba Hernandez,/en/group2/competition/teams/pur-puerto%20rico/players/alba-hernandez?id=59484,03/10/1994,26,207,87,305,293
Ana Sofia Jusino,/en/group2/competition/teams/pur-puerto%20rico/players/ana-sofia-jusino?id=59485,05/01/1994,26,189,65,310,294
Adriana Vinas Joy,/en/group2/competition/teams/pur-puerto%20rico/players/adriana-vinas-joy?id=59501,01/03/1994,26,178,74,245,237
Kyla Richey,/en/group2/competition/teams/can-canada/players/kyla-richey?id=59676,20/06/1989,31,188,83,309,292
Danielle Smith,/en/group2/competition/teams/can-canada/players/danielle-smith?id=59677,29/04/1990,30,178,68,291,277
Brianna Beamish,/en/group2/competition/teams/can-canada/players/brianna-beamish?id=59661,04/09/1993,27,179,71,300,286
Alicia Ogoms,/en/group2/competition/teams/can-canada/players/alicia-ogoms?id=59673,02/04/1994,26,194,82,315,305
Jennifer Cross,/en/group2/competition/teams/can-canada/players/jennifer-cross?id=59666,04/07/1992,28,195,81,315,296
Lucille Charuk,/en/group2/competition/teams/can-canada/players/lucille-charuk?id=59664,13/08/1989,31,188,88,315,296
Elizabeth Wendel,/en/group2/competition/teams/can-canada/players/elizabeth-wendel?id=59678,15/12/1993,27,185,81,310,300
Sarah Chase,/en/group2/competition/teams/can-canada/players/sarah-chase?id=59894,08/10/1997,23,180,70,302,276
Kristen Moncks,/en/group2/competition/teams/can-canada/players/kristen-moncks?id=59672,31/07/1992,28,173,66,290,274
Marie-Alex Bélanger,/en/group2/competition/teams/can-canada/players/marie-alex-b%c3%a9langer?id=59662,13/04/1993,27,186,75,315,295
Alicia Perrin,/en/group2/competition/teams/can-canada/players/alicia-perrin?id=59674,01/06/1992,28,188,84,305,286
Courtney Baker,/en/group2/competition/teams/can-canada/players/courtney-baker?id=59660,14/07/1997,23,180,68,309,290
Megan Cyr,/en/group2/competition/teams/can-canada/players/megan-cyr?id=59667,01/06/1990,30,182,75,297,282
Michaela Reesor,/en/group2/competition/teams/can-canada/players/michaela-reesor?id=59675,02/03/1993,27,180,66,302,279
Andrea Kossanyiova,/en/group2/competition/teams/cze-czech%20republic/players/andrea-kossanyiova?id=58695,06/08/1993,27,186,72,310,300
Katerina Kohoutova,/en/group2/competition/teams/cze-czech%20republic/players/katerina-kohoutova?id=58709,30/06/1992,28,182,66,305,292
Aneta Kocmanova Havlickova,/en/group2/competition/teams/cze-czech%20republic/players/aneta-kocmanova-havlickova?id=58692,03/07/1987,33,190,96,316,300
Lucie Smutna,/en/group2/competition/teams/cze-czech%20republic/players/lucie-smutna?id=58702,14/04/1991,29,180,75,307,285
Iva Nachmilnerova,/en/group2/competition/teams/cze-czech%20republic/players/iva-nachmilnerova?id=58699,20/09/1988,32,191,83,310,299
Barbora Purchartova,/en/group2/competition/teams/cze-czech%20republic/players/barbora-purchartova?id=58701,09/05/1992,28,189,83,309,300
Veronika Dostalova,/en/group2/competition/teams/cze-czech%20republic/players/veronika-dostalova?id=58690,07/04/1992,28,170,66,278,269
Michaela Mlejnkova,/en/group2/competition/teams/cze-czech%20republic/players/michaela-mlejnkova?id=58698,26/07/1996,24,185,75,305,298
Karolína Bednárová,/en/group2/competition/teams/cze-czech%20republic/players/karol%c3%adna-bedn%c3%a1rov%c3%a1?id=58689,20/07/1986,34,183,67,304,285
Veronika Struskova,/en/group2/competition/teams/cze-czech%20republic/players/veronika-struskova?id=58708,13/08/1991,29,182,80,298,289
Nikola Vankova,/en/group2/competition/teams/cze-czech%20republic/players/nikola-vankova?id=58705,07/01/1998,22,170,70,287,275
Pavla Smidova,/en/group2/competition/teams/cze-czech%20republic/players/pavla-smidova?id=58706,12/11/1992,28,180,68,297,290
Petra Kojdova,/en/group2/competition/teams/cze-czech%20republic/players/petra-kojdova?id=58693,23/09/1993,27,183,68,304,298
Marie Kozubikova,/en/group2/competition/teams/cze-czech%20republic/players/marie-kozubikova?id=58703,19/06/1992,28,184,70,304,294
Lenka Dürr,/en/group2/competition/teams/ger-germany/players/lenka-d%c3%bcrr?id=58626,10/12/1990,30,171,59,280,270
Irina Kemmsies,/en/group2/competition/teams/ger-germany/players/irina-kemmsies?id=58634,14/05/1996,24,181,65,299,286
Denise Hanke,/en/group2/competition/teams/ger-germany/players/denise-hanke?id=58631,31/08/1989,31,183,73,297,284
Jana Franziska Poll,/en/group2/competition/teams/ger-germany/players/jana-franziska-poll?id=58641,07/05/1988,32,185,69,310,290
Jennifer Geerties,/en/group2/competition/teams/ger-germany/players/jennifer-geerties?id=58627,05/04/1994,26,184,58,298,288
Jennifer Pettke,/en/group2/competition/teams/ger-germany/players/jennifer-pettke?id=58639,29/05/1989,31,187,71,302,290
Kimberly Drewniok,/en/group2/competition/teams/ger-germany/players/kimberly-drewniok?id=58625,11/08/1997,23,188,73,311,298
Lena Stigrot,/en/group2/competition/teams/ger-germany/players/lena-stigrot?id=58644,20/12/1994,26,184,68,303,295
Louisa Lippmann,/en/group2/competition/teams/ger-germany/players/louisa-lippmann?id=58636,23/09/1994,26,191,78,319,312
Marie Schölzel,/en/group2/competition/teams/ger-germany/players/marie-sch%c3%b6lzel?id=58642,01/08/1997,23,188,66,307,299
Anna Pogany,/en/group2/competition/teams/ger-germany/players/anna-pogany?id=58640,21/07/1994,26,170,60,280,270
Leonie Schwertmann,/en/group2/competition/teams/ger-germany/players/leonie-schwertmann?id=58643,12/01/1994,26,190,80,300,290
Barbara Roxana Wezorke,/en/group2/competition/teams/ger-germany/players/barbara-roxana-wezorke?id=58645,12/04/1993,27,185,75,305,290
Mirtha Uribe,/en/group2/competition/teams/per-peru/players/mirtha-uribe?id=59474,12/03/1985,35,184,67,297,286
Shiamara Almeida,/en/group2/competition/teams/per-peru/players/shiamara-almeida?id=59477,19/02/1996,24,172,62,276,265
Alexandra Muñoz,/en/group2/competition/teams/per-peru/players/alexandra-mu%c3%b1oz?id=59466,16/08/1992,28,180,63,287,281
Andrea Urrutia,/en/group2/competition/teams/per-peru/players/andrea-urrutia?id=59475,31/05/1997,23,185,65,278,275
Maguilaura Frias,/en/group2/competition/teams/per-peru/players/maguilaura-frias?id=59463,28/05/1997,23,186,71,291,280
Janice Torres,/en/group2/competition/teams/per-peru/players/janice-torres?id=59471,08/11/1989,31,166,55,258,261
Mirian Patiño,/en/group2/competition/teams/per-peru/players/mirian-pati%c3%b1o?id=59467,28/03/1990,30,168,67,275,270
Clarivett Yllescas,/en/group2/competition/teams/per-peru/players/clarivett-yllescas?id=59476,11/08/1993,27,185,63,305,295
Angela Leyva,/en/group2/competition/teams/per-peru/players/angela-leyva?id=59464,22/11/1996,24,181,70,312,300
Katerinne Mabel Olemar,/en/group2/competition/teams/per-peru/players/katerinne-mabel-olemar?id=59479,10/05/1993,27,176,65,293,280
Alexandra Machado,/en/group2/competition/teams/per-peru/players/alexandra-machado?id=59465,28/02/1995,25,178,65,293,284
Jessenia Uceda,/en/group2/competition/teams/per-peru/players/jessenia-uceda?id=59472,14/08/1981,39,178,69,304,294
Coraima Gomez,/en/group2/competition/teams/per-peru/players/coraima-gomez?id=59478,09/08/1996,24,179,70,300,285
Carla Rueda Cotito,/en/group2/competition/teams/per-peru/players/carla-rueda-cotito?id=59468,19/04/1990,30,184,70,312,306
Yeisy Soto,/en/group2/competition/teams/col-colombia/players/yeisy-soto?id=59427,07/04/1996,24,186,55,295,273
Dayana Segovia,/en/group2/competition/teams/col-colombia/players/dayana-segovia?id=59426,24/03/1996,24,184,58,298,281
Melissa Andrea Montero,/en/group2/competition/teams/col-colombia/players/melissa-andrea-montero?id=59460,11/03/1997,23,172,64,265,260
Ana Karina Olaya,/en/group2/competition/teams/col-colombia/players/ana-karina-olaya?id=59422,13/09/2002,18,187,78,312,297
Lorena Zuleta,/en/group2/competition/teams/col-colombia/players/lorena-zuleta?id=59430,16/01/1981,39,192,77,315,310
Juliana Toro,/en/group2/competition/teams/col-colombia/players/juliana-toro?id=59428,29/01/1995,25,166,65,257,246
Valerin Carabali,/en/group2/competition/teams/col-colombia/players/valerin-carabali?id=59413,25/10/2000,20,183,67,301,286
Giselle Perez,/en/group2/competition/teams/col-colombia/players/giselle-perez?id=59424,08/07/1997,23,182,65,280,275
Camila Gomez,/en/group2/competition/teams/col-colombia/players/camila-gomez?id=59416,06/07/1995,25,160,61,263,260
Maria Alejandra Marin,/en/group2/competition/teams/col-colombia/players/maria-alejandra-marin?id=59417,04/11/1995,25,180,65,295,283
Melissa Rangel,/en/group2/competition/teams/col-colombia/players/melissa-rangel?id=59431,16/10/1994,26,193,75,305,300
Maria Margarita Martinez,/en/group2/competition/teams/col-colombia/players/maria-margarita-martinez?id=59461,19/05/1995,25,180,77,305,300
Amanda Coneo,/en/group2/competition/teams/col-colombia/players/amanda-coneo?id=59415,20/12/1996,24,177,58,295,280
Veronica Pasos,/en/group2/competition/teams/col-colombia/players/veronica-pasos?id=59423,15/06/1996,24,179,71,294,277
Yekaterina Zhdanova,/en/group2/competition/teams/kaz-kazakhstan/players/yekaterina-zhdanova?id=59300,28/05/1992,28,183,65,280,270
Diana Kempa,/en/group2/competition/teams/kaz-kazakhstan/players/diana-kempa?id=59291,30/12/1992,28,167,56,270,275
Natalya Akilova,/en/group2/competition/teams/kaz-kazakhstan/players/natalya-akilova?id=59282,31/05/1993,27,183,62,295,275
Inna Yakovleva,/en/group2/competition/teams/kaz-kazakhstan/players/inna-yakovleva?id=59302,04/03/1988,32,177,65,208,217
Irina Kenzhebaeva,/en/group2/competition/teams/kaz-kazakhstan/players/irina-kenzhebaeva?id=59298,20/02/1992,28,180,73,290,280
Katerina Tatko,/en/group2/competition/teams/kaz-kazakhstan/players/katerina-tatko?id=59299,15/12/1992,28,182,70,285,275
Radmila Beresneva,/en/group2/competition/teams/kaz-kazakhstan/players/radmila-beresneva?id=59286,06/06/1983,37,185,70,300,295
Antonina Rubtsova,/en/group2/competition/teams/kaz-kazakhstan/players/antonina-rubtsova?id=59295,30/12/1984,36,184,67,302,275
Aliya Batkuldina,/en/group2/competition/teams/kaz-kazakhstan/players/aliya-batkuldina?id=59285,18/11/1995,25,181,74,273,264
Alla Bogdashkina,/en/group2/competition/teams/kaz-kazakhstan/players/alla-bogdashkina?id=59287,22/08/1985,35,185,65,275,270
Tatyana Fendrikova,/en/group2/competition/teams/kaz-kazakhstan/players/tatyana-fendrikova?id=59288,23/02/1990,30,169,55,280,275
Yeongyeon Kim,/en/group2/competition/teams/kor-korea/players/yeongyeon-kim?id=58722,01/12/1993,27,163,54,267,247
Hye Seon Yeum,/en/group2/competition/teams/kor-korea/players/hye-seon-yeum?id=58730,03/02/1991,29,177,65,278,263
Heejin Kim,/en/group2/competition/teams/kor-korea/players/heejin-kim?id=58719,29/04/1991,29,185,75,305,295
Hae Ran Kim,/en/group2/competition/teams/kor-korea/players/hae-ran-kim?id=58718,16/03/1984,36,168,60,270,250
So-La Lee,/en/group2/competition/teams/kor-korea/players/so-la-lee?id=58724,01/09/1987,33,177,62,295,285
Sooji Han,/en/group2/competition/teams/kor-korea/players/sooji-han?id=58715,01/02/1989,31,182,72,285,275
Yeon Koung Kim,/en/group2/competition/teams/kor-korea/players/yeon-koung-kim?id=58721,26/02/1988,32,192,73,330,320
Su Ji Kim,/en/group2/competition/teams/kor-korea/players/su-ji-kim?id=58731,11/07/1987,33,187,68,283,273
Jeongah Park,/en/group2/competition/teams/kor-korea/players/jeongah-park?id=58728,26/03/1993,27,187,75,300,290
Hyo Jin Yang,/en/group2/competition/teams/kor-korea/players/hyo-jin-yang?id=58729,14/12/1989,31,190,72,340,338
Miyoun Kim,/en/group2/competition/teams/kor-korea/players/miyoun-kim?id=58732,05/03/1993,27,178,62,290,280
Minkyoung Hwang,/en/group2/competition/teams/kor-korea/players/minkyoung-hwang?id=58716,02/06/1990,30,174,64,290,282
Klaudia Alagierska,/en/group2/competition/teams/pol-poland/players/klaudia-alagierska?id=59053,02/01/1996,24,190,76,297,290
Patrycja Polak,/en/group2/competition/teams/pol-poland/players/patrycja-polak?id=59062,23/02/1991,29,183,62,301,279
Agnieszka Kakolewska,/en/group2/competition/teams/pol-poland/players/agnieszka-kakolewska?id=59058,17/10/1994,26,197,75,309,295
Berenika Tomsia,/en/group2/competition/teams/pol-poland/players/berenika-tomsia?id=59064,18/03/1988,32,188,72,310,302
Aleksandra Krzos,/en/group2/competition/teams/pol-poland/players/aleksandra-krzos?id=59059,23/06/1989,31,181,71,275,260
Zuzanna Efimienko-Mlotkowska,/en/group2/competition/teams/pol-poland/players/zuzanna-efimienko-mlotkowska?id=59055,08/08/1989,31,197,72,318,303
Monika Bociek,/en/group2/competition/teams/pol-poland/players/monika-bociek?id=59054,06/04/1996,24,185,70,302,287
Agata Witkowska,/en/group2/competition/teams/pol-poland/players/agata-witkowska?id=59065,19/08/1989,31,170,63,280,275
Joanna Wolosz,/en/group2/competition/teams/pol-poland/players/joanna-wolosz?id=59066,07/04/1990,30,181,71,303,281
Martyna Grajber,/en/group2/competition/teams/pol-poland/players/martyna-grajber?id=59056,28/03/1995,25,180,67,293,276
Malwina Smarzek,/en/group2/competition/teams/pol-poland/players/malwina-smarzek?id=59063,03/06/1996,24,191,80,318,292
Marlena Kowalewska,/en/group2/competition/teams/pol-poland/players/marlena-kowalewska?id=59061,09/01/1992,28,176,61,295,281
Roksana Brzoska,/en/group2/competition/teams/pol-poland/players/roksana-brzoska?id=59308,02/09/1993,27,180,75,300,289
Malgorzata Jasek,/en/group2/competition/teams/pol-poland/players/malgorzata-jasek?id=59057,14/03/1995,25,191,78,300,240
Priscila Bosio,/en/group2/competition/teams/arg-argentina/players/priscila-bosio?id=59617,11/03/1994,26,182,72,292,275
Tanya Acosta,/en/group2/competition/teams/arg-argentina/players/tanya-acosta?id=59615,11/03/1991,29,182,70,287,280
Lucia Fresco,/en/group2/competition/teams/arg-argentina/players/lucia-fresco?id=59621,14/05/1991,29,195,92,304,290
Natalia Aispurua,/en/group2/competition/teams/arg-argentina/players/natalia-aispurua?id=59616,20/12/1991,29,192,78,310,293
Sol Piccolo,/en/group2/competition/teams/arg-argentina/players/sol-piccolo?id=59629,11/09/1996,24,184,74,294,282
Clarisa Sagardia,/en/group2/competition/teams/arg-argentina/players/clarisa-sagardia?id=59632,29/06/1989,31,174,67,290,280
Emilce Sosa,/en/group2/competition/teams/arg-argentina/players/emilce-sosa?id=59633,11/09/1987,33,177,72,305,295
Julieta Constanza Lazcano,/en/group2/competition/teams/arg-argentina/players/julieta-constanza-lazcano?id=59625,25/07/1989,31,190,76,312,293
Tatiana Soledad Rizzo,/en/group2/competition/teams/arg-argentina/players/tatiana-soledad-rizzo?id=59630,30/12/1986,34,178,64,280,268
Florencia Giorgi,/en/group2/competition/teams/arg-argentina/players/florencia-giorgi?id=59622,10/10/1995,25,180,65,290,278
Antonela Fortuna,/en/group2/competition/teams/arg-argentina/players/antonela-fortuna?id=59619,10/05/1995,25,175,61,285,275
Helena Vidal,/en/group2/competition/teams/arg-argentina/players/helena-vidal?id=59635,06/01/1989,31,186,71,300,293
Morena Martinez Franchi,/en/group2/competition/teams/arg-argentina/players/morena-martinez-franchi?id=59626,19/02/1993,27,164,62,285,264
Camila Hiruela Tapia,/en/group2/competition/teams/arg-argentina/players/camila-hiruela-tapia?id=59624,01/02/1997,23,176,77,287,280
Gergana Dimitrova,/en/group2/competition/teams/bul-bulgaria/players/gergana-dimitrova?id=58965,28/02/1996,24,184,71,305,288
Yuliya Stoyanova,/en/group2/competition/teams/bul-bulgaria/players/yuliya-stoyanova?id=58975,22/07/1985,35,185,64,305,298
Rusena Slancheva,/en/group2/competition/teams/bul-bulgaria/players/rusena-slancheva?id=58974,23/08/1986,34,184,62,295,287
Nasya Dimitrova,/en/group2/competition/teams/bul-bulgaria/players/nasya-dimitrova?id=58966,06/11/1992,28,190,70,305,290
Dobriana Rabadzhieva,/en/group2/competition/teams/bul-bulgaria/players/dobriana-rabadzhieva?id=58972,14/06/1991,29,194,72,305,285
Miroslava Paskova,/en/group2/competition/teams/bul-bulgaria/players/miroslava-paskova?id=58971,16/02/1996,24,180,67,299,280
Petya Barakova,/en/group2/competition/teams/bul-bulgaria/players/petya-barakova?id=58963,18/06/1994,26,180,76,283,271
Elitsa Barakova,/en/group2/competition/teams/bul-bulgaria/players/elitsa-barakova?id=59337,11/03/1997,23,184,60,290,280
Maria Dancheva,/en/group2/competition/teams/bul-bulgaria/players/maria-dancheva?id=58964,04/12/1995,25,195,73,314,302
Veselina Arshinkova,/en/group2/competition/teams/bul-bulgaria/players/veselina-arshinkova?id=58968,06/09/1995,25,194,80,303,292
Kristina Guncheva,/en/group2/competition/teams/bul-bulgaria/players/kristina-guncheva?id=58969,24/03/1994,26,178,61,282,271
Rene Sain,/en/group2/competition/teams/cro-croatia/players/rene-sain?id=59171,23/04/1997,23,160,55,271,251
Nikolina Bozicevic,/en/group2/competition/teams/cro-croatia/players/nikolina-bozicevic?id=59168,14/01/1995,25,160,62,282,273
Božana Butigan,/en/group2/competition/teams/cro-croatia/players/bo%c5%beana-butigan?id=59407,19/08/2000,20,190,78,303,294
Lara Štimac,/en/group2/competition/teams/cro-croatia/players/lara-%c5%a1timac?id=59404,18/08/2000,20,180,63,295,285
Ema Strunjak,/en/group2/competition/teams/cro-croatia/players/ema-strunjak?id=59410,24/09/1999,21,188,74,301,294
Katarina Pavičić,/en/group2/competition/teams/cro-croatia/players/katarina-pavi%c4%8di%c4%87?id=59173,17/05/1999,21,180,63,294,284
Jelena Šunjić,/en/group2/competition/teams/cro-croatia/players/jelena-%c5%a1unji%c4%87?id=59458,04/01/1994,26,189,75,312,300
Samanta Fabris,/en/group2/competition/teams/cro-croatia/players/samanta-fabris?id=58221,08/02/1992,28,190,83,325,306
Natalia Tomić,/en/group2/competition/teams/cro-croatia/players/natalia-tomi%c4%87?id=59176,04/01/2002,18,184,60,295,289
Matea Ćurak,/en/group2/competition/teams/cro-croatia/players/matea-%c4%87urak?id=59169,19/09/1995,25,186,73,303,296
Lara Vukasović,/en/group2/competition/teams/cro-croatia/players/lara-vukasovi%c4%87?id=59411,10/11/1994,26,196,84,300,295
Lucija Mlinar,/en/group2/competition/teams/cro-croatia/players/lucija-mlinar?id=59170,06/05/1995,25,180,70,308,287
Katarina Luketić,/en/group2/competition/teams/cro-croatia/players/katarina-luketi%c4%87?id=59175,28/09/1998,22,190,70,310,299
Daly Santana,/en/group2/competition/teams/pur-puerto%20rico/players/daly-santana?id=59493,19/02/1995,25,182,72,272,267
Shara Venegas,/en/group2/competition/teams/pur-puerto%20rico/players/shara-venegas?id=59498,18/09/1992,28,173,68,280,272
Raymariely Santos,/en/group2/competition/teams/pur-puerto%20rico/players/raymariely-santos?id=59495,13/04/1992,28,183,72,290,288
Stephanie Enright,/en/group2/competition/teams/pur-puerto%20rico/players/stephanie-enright?id=59482,15/12/1990,30,179,56,300,292
Jennifer Nogueras,/en/group2/competition/teams/pur-puerto%20rico/players/jennifer-nogueras?id=59490,01/08/1991,29,185,88,299,292
Janeliss Torres,/en/group2/competition/teams/pur-puerto%20rico/players/janeliss-torres?id=59496,09/07/1991,29,166,62,305,296
